brokerTradingVolumeSummaryIndicator	https://apiank.matriksdata.com/dumrul/v2/broker-trading-volume-summary/indicator	get	start|end|type|agents	gz=False
capitalIncrease	https://apiank.matriksdata.com/dumrul/v1/capital-increase	get	symbols|start|end|year|type	gz=False
lineChart	https://apiank.matriksdata.com/dumrul/v1/line-chart	get	symbols	gz=False
initialMargin	https://apiank.matriksdata.com/dumrul/v1/initial-margin	get	period	gz=False
initialMarginV2	https://apiank.matriksdata.com/dumrul/v2/initial-margin	get	period	gz=False
funds.meta	https://apiank.matriksdata.com/dumrul/v1/funds/meta	get	type|tradeableStatus|active|search	gz=False
funds.price	https://apiank.matriksdata.com/dumrul/v1/funds/price	get	fund|date|company|kind|type|tradeableStatus|fundClass|active	gz=False
funds.graph	https://apiank.matriksdata.com/dumrul/v1/funds/graph	get	fund|start|end	gz=False
funds.asset-distribution	https://apiank.matriksdata.com/dumrul/v1/funds/asset-distribution	get	fund|start|end	gz=False
funds.metaCompanies	https://apiank.matriksdata.com/dumrul/v1/funds/meta/companies	get		gz=False
funds.gainers	https://apiank.matriksdata.com/dumrul/v1/funds/gainers	get	period|type|kind|top	gz=False
fundsportfolio.fundsportfolio	https://apiank.matriksdata.com/dumrul/v1/fundsportfolio	get	fund|period	gz=False
fundsportfolio.periods	https://apiank.matriksdata.com/dumrul/v1/fundsportfolio/periods	get	fund|year	gz=False
fundsportfolio.assets	https://apiank.matriksdata.com/dumrul/v1/fundsportfolio/assets	get	symbol|period|startperiod|endperiod	gz=False
fundsportfolio.sectors	https://apiank.matriksdata.com/dumrul/v1/fundsportfolio/sectors	get	period	gz=False
fundsportfolio.count	https://apiank.matriksdata.com/dumrul/v1/fundsportfolio/count	get	top|period	gz=False
depth	https://apiank.matriksdata.com/dumrul/v1/depth	get	count|symbol	gz=False
widget	https://apiank.matriksdata.com/dumrul/v1/widget	get	symbols	gz=False
